{'participant':	u'12345'		'response_buttons':	u'DC'		'range_in_instr':	True		'dateStr':	u'05_09_1428'		'autopilot':	False		'exp_id':	u'SNARC'}
12345	SNARC_only	CD	9	num_separator	0.6561429501											
12345	SNARC_only	CD	3	num_separator	0.7003109455											
12345	SNARC_only	CD	3	num_separator	0.4654631615											
12345	SNARC_only	CD	8	lctrl	0.5431578159											
12345	SNARC_only	CD	3	num_separator	0.7319149971											
12345	SNARC_only	CD	7	num_separator	0.5004000664											
12345	SNARC_only	CD	3	num_separator	0.5041620731											
12345	SNARC_only	CD	4	lctrl	0.8172910213											
12345	SNARC_only	CD	6	num_separator	0.5375671387											
12345	SNARC_only	CD	3	num_separator	0.5833420753											
12345	SNARC_only	CD	5	num_separator	0.5048489571											
12345	SNARC_only	CD	2	lctrl	0.8179910183											
12345	SNARC_only	CD	6	lctrl	0.6201820374											
12345	SNARC_only	CD	8	lctrl	0.4676110744											
12345	SNARC_only	CD	3	num_separator	1.0480902195											
12345	SNARC_only	CD	5	num_separator	0.5762929916											
12345	SNARC_only	CD	5	num_separator	0.5751020908											
12345	SNARC_only	CD	5	num_separator	0.508300066											
12345	SNARC_only	CD	5	num_separator	0.4229490757											
12345	SNARC_only	CD	2	lctrl	0.5359959602											
12345	SNARC_only	CD	8	lctrl	0.6977779865											
12345	SNARC_only	CD	5	lctrl	0.501573801											
12345	SNARC_only	CD	8	lctrl	0.4667110443											
12345	SNARC_only	CD	1	num_separator	0.8537969589											
12345	SNARC_only	CD	3	num_separator	0.5819609165											
12345	SNARC_only	CD	4	lctrl	0.5807781219											
12345	SNARC_only	CD	7	num_separator	0.7729780674											
12345	SNARC_only	CD	3	num_separator	1.0087490082											
12345	SNARC_only	CD	7	num_separator	1.0867528915											
12345	SNARC_only	CD	2	lctrl	0.6569449902											
12345	SNARC_only	CD	9	num_separator	0.7012138367											
12345	SNARC_only	CD	4	lctrl	0.6596410275											
12345	SNARC_only	CD	5	num_separator	0.692084074											
12345	SNARC_only	CD	7	num_separator	0.6623752117											
12345	SNARC_only	CD	6	lctrl	0.5014231205											
12345	SNARC_only	CD	1	num_separator	0.6213150024											
12345	SNARC_only	CD	1	num_separator	0.3913559914											
12345	SNARC_only	CD	6	lctrl	0.617030859											
12345	SNARC_only	CD	7	num_separator	0.5031540394											
12345	SNARC_only	CD	4	lctrl	0.4296221733											
12345	SNARC_only	CD	2	lctrl	0.5426540375											
12345	SNARC_only	CD	2	lctrl	0.4220290184											
12345	SNARC_only	CD	6	lctrl	0.4694609642											
12345	SNARC_only	CD	6	lctrl	0.431194067											
12345	SNARC_only	CD	8	lctrl	0.3898899555											
12345	SNARC_only	CD	2	lctrl	0.5378808975											
12345	SNARC_only	CD	5	num_separator	0.5836780071											
12345	SNARC_only	CD	9	num_separator	0.4533228874											
12345	SNARC_only	CD	6	lctrl	0.5041589737											
12345	SNARC_only	CD	1	num_separator	0.5465600491											
